,R,cidx
0,0.0,0.0
1,0.0064646464646464655,0.0
2,0.012929292929292931,0.0
3,0.019393939393939397,0.0
4,0.025858585858585862,0.0
5,0.032323232323232316,0.0
6,0.03878787878787879,0.0
7,0.04525252525252525,0.0
8,0.051717171717171724,0.0
9,0.058181818181818175,0.0
10,0.06464646464646465,0.0
11,0.07111111111111111,0.0
12,0.07757575757575758,0.0
13,0.08404040404040405,0.0
14,0.0905050505050505,0.0
15,0.09696969696969696,0.0
16,0.10343434343434343,0.0
17,0.1098989898989899,0.0
18,0.11636363636363635,0.0
19,0.12282828282828286,0.0
20,0.1292929292929293,0.0
21,0.13575757575757574,0.0
22,0.14222222222222222,0.0
23,0.1486868686868687,0.0
24,0.15515151515151515,0.0
25,0.16161616161616166,0.0
26,0.1680808080808081,0.0
27,0.17454545454545453,0.0
28,0.18101010101010104,0.0
29,0.1874747474747475,0.0
30,0.19393939393939394,0.0
31,0.2004040404040404,0.0
32,0.2068686868686869,0.0
33,0.21333333333333326,0.0
34,0.2197979797979798,0.0
35,0.2262626262626263,0.0
36,0.23272727272727275,0.0
37,0.2391919191919192,0.0
38,0.2456565656565657,0.0
39,0.2521212121212121,0.0
40,0.2585858585858586,0.0
41,0.26505050505050504,0.0
42,0.27151515151515154,0.0
43,0.277979797979798,0.0
44,0.28444444444444444,0.0
45,0.2909090909090909,0.0
46,0.2973737373737374,0.0
47,0.30383838383838385,0.0
48,0.3103030303030303,0.0
49,0.3167676767676768,0.0
50,0.3232323232323233,0.0
51,0.3296969696969697,0.0
52,0.3361616161616162,0.0
53,0.3426262626262626,0.0
54,0.34909090909090906,0.0
55,0.3555555555555556,0.0
56,0.3620202020202021,0.0
57,0.3684848484848485,0.0
58,0.374949494949495,0.0
59,0.38141414141414137,0.0
60,0.3878787878787879,0.0
61,0.3943434343434343,0.0
62,0.4008080808080808,0.0
63,0.4072727272727273,0.0
64,0.4137373737373738,0.0
65,0.42020202020202013,0.0
66,0.4266666666666665,0.0
67,0.4331313131313131,0.0
68,0.4395959595959596,0.0
69,0.4460606060606061,0.0
70,0.4525252525252526,0.0
71,0.458989898989899,0.0
72,0.4654545454545455,0.0
73,0.4719191919191919,0.0
74,0.4783838383838384,0.0
75,0.4848484848484849,0.0
76,0.4913131313131313,0.0
77,0.4977777777777778,0.0
78,0.5042424242424243,0.0
79,0.5107070707070708,0.0
