,R,cidx,C,m
125,0.161616162,0.01010101,4.20E-10,3.838737374
126,0.168080808,0.01010101,4.24E-10,3.838737374
127,0.174545455,0.01010101,4.28E-10,3.838737374
128,0.181010101,0.01010101,4.33E-10,3.838737374
129,0.187474747,0.01010101,4.37E-10,3.838737374
130,0.193939394,0.01010101,4.41E-10,3.838737374
131,0.20040404,0.01010101,4.46E-10,3.838737374
132,0.206868687,0.01010101,4.50E-10,3.838737374
133,0.213333333,0.01010101,4.55E-10,3.838737374
134,0.21979798,0.01010101,4.59E-10,3.838737374
135,0.226262626,0.01010101,4.64E-10,3.838737374
136,0.232727273,0.01010101,4.69E-10,3.838737374
137,0.239191919,0.01010101,4.74E-10,3.838737374
138,0.245656566,0.01010101,4.79E-10,3.838737374
139,0.252121212,0.01010101,4.84E-10,3.838737374
140,0.258585859,0.01010101,4.89E-10,3.838737374
141,0.265050505,0.01010101,4.94E-10,3.838737374
142,0.271515152,0.01010101,5.00E-10,3.838737374
143,0.277979798,0.01010101,5.05E-10,3.838737374
144,0.284444444,0.01010101,5.11E-10,3.838737374
145,0.290909091,0.01010101,5.16E-10,3.838737374
146,0.297373737,0.01010101,5.22E-10,3.838737374
147,0.303838384,0.01010101,5.28E-10,3.838737374
148,0.31030303,0.01010101,5.34E-10,3.838737374
149,0.316767677,0.01010101,5.40E-10,3.838737374
150,0.323232323,0.01010101,5.47E-10,3.838737374
151,0.32969697,0.01010101,5.53E-10,3.838737374
152,0.336161616,0.01010101,5.60E-10,3.838737374
153,0.342626263,0.01010101,5.67E-10,3.838737374
154,0.349090909,0.01010101,5.74E-10,3.838737374
155,0.355555556,0.01010101,5.81E-10,3.838737374
156,0.362020202,0.01010101,5.88E-10,3.838737374
157,0.368484848,0.01010101,5.95E-10,3.838737374
158,0.374949495,0.01010101,6.03E-10,3.838737374
159,0.381414141,0.01010101,6.11E-10,3.838737374
160,0.387878788,0.01010101,6.19E-10,3.838737374
161,0.394343434,0.01010101,6.27E-10,3.838737374
162,0.400808081,0.01010101,6.35E-10,3.838737374
163,0.407272727,0.01010101,6.44E-10,3.838737374
164,0.413737374,0.01010101,6.52E-10,3.838737374
165,0.42020202,0.01010101,6.61E-10,3.838737374
166,0.426666667,0.01010101,6.70E-10,3.838737374
167,0.433131313,0.01010101,6.80E-10,3.838737374
168,0.43959596,0.01010101,6.89E-10,3.838737374
169,0.446060606,0.01010101,6.99E-10,3.838737374
170,0.452525253,0.01010101,7.09E-10,3.838737374
171,0.458989899,0.01010101,7.20E-10,3.838737374
172,0.465454545,0.01010101,7.31E-10,3.838737374
173,0.471919192,0.01010101,7.42E-10,3.838737374
174,0.478383838,0.01010101,7.53E-10,3.838737374
175,0.484848485,0.01010101,7.65E-10,3.838737374
176,0.491313131,0.01010101,7.77E-10,3.838737374
177,0.497777778,0.01010101,7.89E-10,3.838737374
178,0.504242424,0.01010101,8.01E-10,3.838737374
179,0.510707071,0.01010101,8.15E-10,3.838737374
180,0.517171717,0.01010101,8.28E-10,3.838737374
181,0.523636364,0.01010101,8.42E-10,3.838737374
182,0.53010101,0.01010101,8.56E-10,3.838737374
183,0.536565657,0.01010101,8.71E-10,3.838737374
184,0.543030303,0.01010101,8.86E-10,3.838737374
185,0.549494949,0.01010101,9.01E-10,3.838737374
186,0.555959596,0.01010101,9.18E-10,3.838737374
187,0.562424242,0.01010101,9.34E-10,3.838737374
188,0.568888889,0.01010101,9.52E-10,3.838737374
189,0.575353535,0.01010101,9.69E-10,3.838737374
190,0.581818182,0.01010101,9.88E-10,3.838737374
191,0.588282828,0.01010101,1.01E-09,3.838737374
192,0.594747475,0.01010101,1.03E-09,3.838737374
193,0.601212121,0.01010101,1.05E-09,3.838737374
194,0.607676768,0.01010101,1.07E-09,3.838737374
195,0.614141414,0.01010101,1.09E-09,3.838737374
196,0.620606061,0.01010101,1.11E-09,3.838737374
197,0.627070707,0.01010101,1.14E-09,3.838737374
198,0.633535354,0.01010101,1.16E-09,3.838737374
199,0.64,0.01010101,1.19E-09,3.838737374
200,0,0.02020202,5.64E-10,3.818474747
201,0.006464646,0.02020202,5.68E-10,3.818474747
202,0.012929293,0.02020202,5.73E-10,3.818474747
203,0.019393939,0.02020202,5.77E-10,3.818474747
204,0.025858586,0.02020202,5.82E-10,3.818474747
205,0.032323232,0.02020202,5.87E-10,3.818474747
206,0.038787879,0.02020202,5.92E-10,3.818474747
207,0.045252525,0.02020202,5.97E-10,3.818474747
208,0.051717172,0.02020202,6.02E-10,3.818474747
209,0.058181818,0.02020202,6.07E-10,3.818474747
210,0.064646465,0.02020202,6.12E-10,3.818474747
211,0.071111111,0.02020202,6.17E-10,3.818474747
212,0.077575758,0.02020202,6.22E-10,3.818474747
213,0.084040404,0.02020202,6.28E-10,3.818474747
214,0.090505051,0.02020202,6.33E-10,3.818474747
215,0.096969697,0.02020202,6.39E-10,3.818474747
216,0.103434343,0.02020202,6.44E-10,3.818474747
217,0.10989899,0.02020202,6.50E-10,3.818474747
218,0.116363636,0.02020202,6.56E-10,3.818474747
219,0.122828283,0.02020202,6.62E-10,3.818474747
220,0.129292929,0.02020202,6.68E-10,3.818474747
221,0.135757576,0.02020202,6.74E-10,3.818474747
222,0.142222222,0.02020202,6.80E-10,3.818474747
223,0.148686869,0.02020202,6.86E-10,3.818474747
224,0.155151515,0.02020202,6.93E-10,3.818474747
225,0.161616162,0.02020202,6.99E-10,3.818474747
226,0.168080808,0.02020202,7.06E-10,3.818474747
227,0.174545455,0.02020202,7.13E-10,3.818474747
228,0.181010101,0.02020202,7.20E-10,3.818474747
229,0.187474747,0.02020202,7.27E-10,3.818474747
230,0.193939394,0.02020202,7.34E-10,3.818474747
231,0.20040404,0.02020202,7.41E-10,3.818474747
232,0.206868687,0.02020202,7.48E-10,3.818474747
233,0.213333333,0.02020202,7.56E-10,3.818474747
234,0.21979798,0.02020202,7.64E-10,3.818474747
235,0.226262626,0.02020202,7.71E-10,3.818474747
236,0.232727273,0.02020202,7.79E-10,3.818474747
237,0.239191919,0.02020202,7.87E-10,3.818474747
238,0.245656566,0.02020202,7.96E-10,3.818474747
239,0.252121212,0.02020202,8.04E-10,3.818474747
240,0.258585859,0.02020202,8.13E-10,3.818474747
241,0.265050505,0.02020202,8.21E-10,3.818474747
242,0.271515152,0.02020202,8.30E-10,3.818474747
243,0.277979798,0.02020202,8.39E-10,3.818474747
244,0.284444444,0.02020202,8.49E-10,3.818474747
245,0.290909091,0.02020202,8.58E-10,3.818474747
246,0.297373737,0.02020202,8.68E-10,3.818474747
247,0.303838384,0.02020202,8.78E-10,3.818474747
248,0.31030303,0.02020202,8.88E-10,3.818474747
249,0.316767677,0.02020202,8.98E-10,3.818474747
250,0.323232323,0.02020202,9.08E-10,3.818474747
251,0.32969697,0.02020202,9.19E-10,3.818474747
252,0.336161616,0.02020202,9.30E-10,3.818474747
253,0.342626263,0.02020202,9.41E-10,3.818474747
254,0.349090909,0.02020202,9.53E-10,3.818474747
255,0.355555556,0.02020202,9.64E-10,3.818474747
256,0.362020202,0.02020202,9.76E-10,3.818474747
257,0.368484848,0.02020202,9.89E-10,3.818474747
258,0.374949495,0.02020202,1.00E-09,3.818474747
259,0.381414141,0.02020202,1.01E-09,3.818474747
260,0.387878788,0.02020202,1.03E-09,3.818474747
261,0.394343434,0.02020202,1.04E-09,3.818474747
262,0.400808081,0.02020202,1.05E-09,3.818474747
263,0.407272727,0.02020202,1.07E-09,3.818474747
264,0.413737374,0.02020202,1.08E-09,3.818474747
265,0.42020202,0.02020202,1.10E-09,3.818474747
266,0.426666667,0.02020202,1.11E-09,3.818474747
267,0.433131313,0.02020202,1.13E-09,3.818474747
268,0.43959596,0.02020202,1.14E-09,3.818474747
269,0.446060606,0.02020202,1.16E-09,3.818474747
270,0.452525253,0.02020202,1.18E-09,3.818474747
271,0.458989899,0.02020202,1.19E-09,3.818474747
272,0.465454545,0.02020202,1.21E-09,3.818474747
273,0.471919192,0.02020202,1.23E-09,3.818474747
274,0.478383838,0.02020202,1.25E-09,3.818474747
275,0.484848485,0.02020202,1.27E-09,3.818474747
276,0.491313131,0.02020202,1.29E-09,3.818474747
277,0.497777778,0.02020202,1.31E-09,3.818474747
278,0.504242424,0.02020202,1.33E-09,3.818474747
279,0.510707071,0.02020202,1.35E-09,3.818474747
280,0.517171717,0.02020202,1.37E-09,3.818474747
281,0.523636364,0.02020202,1.40E-09,3.818474747
282,0.53010101,0.02020202,1.42E-09,3.818474747
283,0.536565657,0.02020202,1.44E-09,3.818474747
284,0.543030303,0.02020202,1.47E-09,3.818474747
285,0.549494949,0.02020202,1.49E-09,3.818474747
286,0.555959596,0.02020202,1.52E-09,3.818474747
287,0.562424242,0.02020202,1.55E-09,3.818474747
288,0.568888889,0.02020202,1.58E-09,3.818474747
289,0.575353535,0.02020202,1.61E-09,3.818474747
290,0.581818182,0.02020202,1.64E-09,3.818474747
291,0.588282828,0.02020202,1.67E-09,3.818474747
292,0.594747475,0.02020202,1.70E-09,3.818474747
293,0.601212121,0.02020202,1.73E-09,3.818474747
294,0.607676768,0.02020202,1.77E-09,3.818474747
295,0.614141414,0.02020202,1.80E-09,3.818474747
296,0.620606061,0.02020202,1.84E-09,3.818474747
297,0.627070707,0.02020202,1.88E-09,3.818474747
298,0.633535354,0.02020202,1.92E-09,3.818474747
299,0.64,0.02020202,1.96E-09,3.818474747
300,0,0.03030303,7.89E-10,3.798212121
301,0.006464646,0.03030303,7.95E-10,3.798212121
302,0.012929293,0.03030303,8.02E-10,3.798212121
303,0.019393939,0.03030303,8.08E-10,3.798212121
304,0.025858586,0.03030303,8.15E-10,3.798212121
305,0.032323232,0.03030303,8.21E-10,3.798212121
306,0.038787879,0.03030303,8.28E-10,3.798212121
307,0.045252525,0.03030303,8.35E-10,3.798212121
308,0.051717172,0.03030303,8.42E-10,3.798212121
309,0.058181818,0.03030303,8.49E-10,3.798212121
310,0.064646465,0.03030303,8.56E-10,3.798212121
311,0.071111111,0.03030303,8.63E-10,3.798212121
312,0.077575758,0.03030303,8.70E-10,3.798212121
313,0.084040404,0.03030303,8.78E-10,3.798212121
314,0.090505051,0.03030303,8.85E-10,3.798212121
315,0.096969697,0.03030303,8.93E-10,3.798212121
316,0.103434343,0.03030303,9.01E-10,3.798212121
317,0.10989899,0.03030303,9.09E-10,3.798212121
318,0.116363636,0.03030303,9.17E-10,3.798212121
319,0.122828283,0.03030303,9.25E-10,3.798212121
320,0.129292929,0.03030303,9.34E-10,3.798212121
321,0.135757576,0.03030303,9.42E-10,3.798212121
322,0.142222222,0.03030303,9.51E-10,3.798212121
323,0.148686869,0.03030303,9.60E-10,3.798212121
324,0.155151515,0.03030303,9.68E-10,3.798212121
325,0.161616162,0.03030303,9.78E-10,3.798212121
326,0.168080808,0.03030303,9.87E-10,3.798212121
327,0.174545455,0.03030303,9.96E-10,3.798212121
328,0.181010101,0.03030303,1.01E-09,3.798212121
329,0.187474747,0.03030303,1.02E-09,3.798212121
330,0.193939394,0.03030303,1.03E-09,3.798212121
331,0.20040404,0.03030303,1.04E-09,3.798212121
332,0.206868687,0.03030303,1.05E-09,3.798212121
333,0.213333333,0.03030303,1.06E-09,3.798212121
334,0.21979798,0.03030303,1.07E-09,3.798212121
335,0.226262626,0.03030303,1.08E-09,3.798212121
336,0.232727273,0.03030303,1.09E-09,3.798212121
337,0.239191919,0.03030303,1.10E-09,3.798212121
338,0.245656566,0.03030303,1.11E-09,3.798212121
339,0.252121212,0.03030303,1.12E-09,3.798212121
340,0.258585859,0.03030303,1.14E-09,3.798212121
341,0.265050505,0.03030303,1.15E-09,3.798212121
342,0.271515152,0.03030303,1.16E-09,3.798212121
343,0.277979798,0.03030303,1.17E-09,3.798212121
344,0.284444444,0.03030303,1.19E-09,3.798212121
345,0.290909091,0.03030303,1.20E-09,3.798212121
346,0.297373737,0.03030303,1.21E-09,3.798212121
347,0.303838384,0.03030303,1.23E-09,3.798212121
348,0.31030303,0.03030303,1.24E-09,3.798212121
349,0.316767677,0.03030303,1.25E-09,3.798212121
350,0.323232323,0.03030303,1.27E-09,3.798212121
351,0.32969697,0.03030303,1.28E-09,3.798212121
352,0.336161616,0.03030303,1.30E-09,3.798212121
353,0.342626263,0.03030303,1.31E-09,3.798212121
354,0.349090909,0.03030303,1.33E-09,3.798212121
355,0.355555556,0.03030303,1.35E-09,3.798212121
356,0.362020202,0.03030303,1.36E-09,3.798212121
357,0.368484848,0.03030303,1.38E-09,3.798212121
358,0.374949495,0.03030303,1.40E-09,3.798212121
359,0.381414141,0.03030303,1.41E-09,3.798212121
360,0.387878788,0.03030303,1.43E-09,3.798212121
361,0.394343434,0.03030303,1.45E-09,3.798212121
362,0.400808081,0.03030303,1.47E-09,3.798212121
363,0.407272727,0.03030303,1.49E-09,3.798212121
364,0.413737374,0.03030303,1.51E-09,3.798212121
365,0.42020202,0.03030303,1.53E-09,3.798212121
366,0.426666667,0.03030303,1.55E-09,3.798212121
367,0.433131313,0.03030303,1.57E-09,3.798212121
368,0.43959596,0.03030303,1.60E-09,3.798212121
369,0.446060606,0.03030303,1.62E-09,3.798212121
370,0.452525253,0.03030303,1.64E-09,3.798212121
371,0.458989899,0.03030303,1.66E-09,3.798212121
