,logC
723,-20.748563924557395
724,-20.729848702732628
725,-20.711477315349363
726,-20.69343735619737
727,-20.675717078644595
728,-20.65830534969468
729,-20.641191607976285
730,-20.624365825267155
731,-20.607818471201902
732,-20.59154048085262
733,-20.57552322490606
734,-20.55975848219188
735,-20.544238414342907
736,-20.528955542391877
737,-20.513902725129864
738,-20.499073139069445
739,-20.484460259872048
740,-20.47005784511285
741,-20.455859918269287
742,-20.44186075383042
743,-20.428054863434255
744,-20.41443698294907
745,-20.401002060422577
746,-20.38774524482996
747,-20.374661875558026
748,-20.36174747256841
749,-20.34899772718795
750,-20.336408493478768
751,-20.323975780144895
752,-20.311695742935832
753,-20.29956467751092
754,-20.287579012731353
755,-20.275735304349467
756,-20.264030229067377
757,-20.252460578939328
758,-20.241023256094177
759,-20.22971526775631
760,-20.218533721544873
761,-20.207475821033015
762,-20.196538861549897
763,-20.185720226209856
764,-20.17501738215404
765,-20.16442787699107
766,-20.153949335424183
767,-20.143579456053274
768,-20.13331600834103
769,-20.123156829733215
770,-20.11309982292375
771,-20.103142953255947
772,-20.093284246251855
773,-20.08352178526223
774,-20.073853709230086
775,-20.06427821056132
776,-20.05479353309636
777,-20.045397970177063
778,-20.03608986280362
779,-20.026867597876418
780,-20.01772960651825
781,-20.008674362472505
782,-19.999700380573213
783,-19.990806215283126
784,-19.98199045929627
785,-19.97325174220154
786,-19.96458872920417
787,-19.956000119902136
788,-19.94748464711463
789,-19.939041075760045
790,-19.93066820178085
791,-19.922364851113187
792,-19.914129878698848
793,-19.90596216753761
794,-19.897860627777977
795,-19.88982419584443
796,-19.881851833599487
797,-19.8739425275389
798,-19.866095288018432
799,-19.85830914851072
800,-21.18848905004383
801,-21.159580271239502
802,-21.131483782589388
803,-21.104155180821174
804,-21.077553606915814
805,-21.051641378661557
806,-21.026383669625524
807,-21.00174822767949
808,-20.977705127372026
809,-20.95422655137758
810,-20.931286597019216
811,-20.90886110449033
812,-20.886927503919008
813,-20.865464678847896
814,-20.844452844059607
815,-20.82387343597585
816,-20.803709014108804
817,-20.78394317225362
818,-20.764560458289004
819,-20.74554630160368
820,-20.726886947294734
821,-20.70856939639348
822,-20.690581351468207
823,-20.672911167033636
824,-20.65554780426621
825,-20.638480789584285
826,-20.621700176704003
827,-20.60519651182658
828,-20.58896080165202
829,-20.5729844839482
830,-20.55725940043423
831,-20.541777771763073
832,-20.5265321744114
833,-20.5115155193048
834,-20.49672103202426
835,-20.482142234455644
836,-20.467772927757675
837,-20.453607176536423
838,-20.439639294125083
839,-20.425863828877763
840,-20.41227555139455
841,-20.39886944260295
842,-20.38564068262775
843,-20.372584640387462
844,-20.359696863861277
845,-20.34697307097521
846,-20.334409141060846
847,-20.322001106844002
848,-20.309745146924378
849,-20.297637578710482
850,-20.28567485177717
851,-20.27385354161584
852,-20.262170343749712
853,-20.250622068188953
854,-20.239205634202282
855,-20.227918065383726
856,-20.216756484994672
857,-20.205718111563016
858,-20.19480025472257
859,-20.18400031127716
860,-20.173315761474978
861,-20.16274416547989
862,-20.152283160027324
863,-20.141930455253256
864,-20.131683831685667
865,-20.121541137388597
866,-20.111500285249562
867,-20.10155925040182
868,-20.09171606777351
869,-20.081968829756235
870,-20.07231568398616
871,-20.062754831231246
872,-20.05328452337844
873,-20.043903061515383
874,-20.03460879410118
875,-20.025400115221462
876,-20.016275462923016
877,-20.007233317623733
878,-19.998272200593807
879,-19.989390672504353
880,-19.980587332039953
881,-19.971860814571702
882,-19.96320979088769
883,-19.954632965977886
884,-19.94612907787074
885,-19.937696896518794
886,-19.92933522273091
887,-19.921042887148744
888,-19.91281874926536
889,-19.9046616964838
890,-19.896570643213813
891,-19.888544530004783
892,-19.8805823227132
893,-19.872683011702996
894,-19.864845611077254
895,-19.857069157939744
896,-19.84935271168499
897,-19.84169535331549
898,-19.83409618478491
899,-19.826554328366015
900,-21.073362888401835
901,-21.047557637581708
902,-21.022401580248676
903,-20.99786285231771
904,-20.973911879576285
905,-20.950521163395834
906,-20.92766509093787
907,-20.905319766569914
908,-20.883462861708928
909,-20.86207348072685
910,-20.841132040899492
911,-20.820620164670128
912,-20.800520582742305
913,-20.780817046721342
914,-20.761494250197316
915,-20.742537757309158
916,-20.723933937954687
917,-20.705669908918114
918,-20.687733480278144
919,-20.670113106538246
920,-20.652797841988438
921,-20.63577729986641
922,-20.619041614936393
923,-20.602581409148158
924,-20.586387760076928
925,-20.570452171878156
926,-20.55476654852055
927,-20.53932316908614
928,-20.524114664948808
929,-20.50913399866238
930,-20.494374444406887
931,-20.479829569856953
932,-20.46549321935007
933,-20.451359498244386
934,-20.43742275836664
935,-20.42367758446025
936,-20.41011878155223
937,-20.396741363165173
938,-20.383540540307308
939,-20.370511711179898
940,-20.357650451546522
941,-20.344952505713877
942,-20.332413778078053
943,-20.320030325194278
944,-20.307798348331698
945,-20.295714186478055
946,-20.283774309761974
947,-20.27197531326337
948,-20.260313911184713
949,-20.248786931358318
950,-20.237391310066556
951,-20.22612408715394
952,-20.214982401411486
953,-20.203963486215397
954,-20.19306466540344
955,-20.18228334937361
956,-20.171617031390852
957,-20.161063284088726
958,-20.150619756153713
959,-20.1402841691809
960,-20.13005431469049
961,-20.119928051295393
962,-20.109903302010768
963,-20.099978051697118
964,-20.09015034462901
965,-20.080418282182112
966,-20.07078002063171
967,-20.061233769056294
968,-20.05177778734028
969,-20.042410384270262
970,-20.03312991571963
971,-20.023934782916637
972,-20.014823430791377
973,-20.00579434639739
974,-19.996846057403896
975,-19.987977130654873
976,-19.979186170791493
977,-19.970471818934584
978,-19.961832751423987
979,-19.95326767861191
980,-19.944775343707526
981,-19.936354521670225
982,-19.92800401814905
983,-19.919722668466083
984,-19.911509336641547
985,-19.903362914458654
986,-19.895282320566206
987,-19.88726649961719
988,-19.879314421441595
989,-19.871425080251882
990,-19.863597493879556
991,-19.85583070304136
992,-19.84812377063376
993,-19.84047578105442
994,-19.832885839549412
995,-19.825353071585027
996,-19.817876622243045
997,-19.810455655638478
998,-19.80308935435873
999,-19.795776918923277
1000,-20.970132966152686
1001,-20.946829454642923
1002,-20.92405665285123
1003,-20.901790925481272
1004,-20.880010181811283
1005,-20.858693743973674
1006,-20.837822228983313
1007,-20.817377442827606
1008,-20.79734228516804
1009,-20.777700663402435
1010,-20.758437415005744
1011,-20.7395382372105
1012,-20.720989623209878
1013,-20.70277880417061
1014,-20.68489369643213
1015,-20.667322853345166
1016,-20.650055421268934
1017,-20.633081099303467
1018,-20.616390102382823
1019,-20.5999731273982
1020,-20.58382132205719
1021,-20.567926256218236
1022,-20.552279895467898
1023,-20.536874576733563
1024,-20.52170298574634
1025,-20.506758136188157
1026,-20.492033350374292
1027,-20.47752224133762
1028,-20.463218696194264
1029,-20.44911686068223
1030,-20.43521112477514
1031,-20.42149610928256
1032,-20.4079666533569
1033,-20.394617802834173
1034,-20.381444799342777
1035,-20.36844307012034
1036,-20.355608218484107
1037,-20.342936014905206
1038,-20.330422388641345
1039,-20.31806341988669
1040,-20.30585533240089
1041,-20.29379448658263
1042,-20.281877372955964
1043,-20.27010060604019
1044,-20.25846091857652
1045,-20.24695515608689
1046,-20.235580271742275
1047,-20.22433332151958
1048,-20.213211459627868
1049,-20.202211934186153
1050,-20.19133208313634
1051,-20.1805693303761
1052,-20.169921182097628
1053,-20.159385223319344
1054,-20.148959114598334
1055,-20.13864058891246
1056,-20.12842744870168
1057,-20.11831756305893
1058,-20.108308865061602
1059,-20.098399349235226
1060,-20.088587069141617
1061,-20.078870135084195
1062,-20.069246711923714
1063,-20.059715016998098
1064,-20.05027331814051
1065,-20.040919931790054
1066,-20.03165322119009
1067,-20.0224715946692
1068,-20.0133735040004
1069,-20.00435744283429
1070,-19.99542194520225
1071,-19.98656558408587
1072,-19.977786970049213
1073,-19.969084749930573
1074,-19.960457605590662
1075,-19.95190425271437
1076,-19.943423439663277
1077,-19.93501394637648
1078,-19.92667458331719
1079,-19.91840419046296
1080,-19.910201636337266
1081,-19.902065817080505
1082,-19.893995655558502
1083,-19.885990100506667
1084,-19.878048125708176
1085,-19.870168729204472
1086,-19.862350932536714
1087,-19.85459378001655
1088,-19.84689633802504
1089,-19.8392576943383
1090,-19.83167695747875
1091,-19.824153256090714
1092,-19.816685738339398
1093,-19.80927357133209
1094,-19.801915940560686
1095,-19.79461204936456
1096,-19.787361118412907
1097,-19.780162385205724
1098,-19.773015103592638
1099,-19.765918543308768
1100,-20.876569381906066
1101,-20.85532539137637
1102,-20.83452333579306
1103,-20.814145202251353
1104,-20.794174057173574
1105,-20.774593961764502
1106,-20.755389895586017
1107,-20.73654768733301
1108,-20.718053952011292
1109,-20.69989603381994
1110,-20.682061954127562
1111,-20.66454036400687
1112,-20.647320500856527
1113,-20.630392148695044
1114,-20.613745601759952
1115,-20.597371631087434
1116,-20.581261453784315
1117,-20.565406704736237
1118,-20.54979941052387
1119,-20.534431965343536
1120,-20.519297108750195
1121,-20.50438790505977
1122,-20.489697724264538
1123,-20.47522022433013
1124,-20.460949334755817
1125,-20.44687924129147
1126,-20.43300437171482
1127,-20.419319382582017
1128,-20.405819146872602
1129,-20.392498742457416
1130,-20.379353441324515
1131,-20.366378699504118
1132,-20.353570147638806
1133,-20.340923582150058
1134,-20.328434956956404
1135,-20.316100375702376
1136,-20.303916084460905
1137,-20.291878464875005
1138,-20.279984027707314
1139,-20.26822940676883
1140,-20.256611353200277
1141,-20.24512673008194
1142,-20.233772507349485
1143,-20.222545756995192
1144,-20.211443648535592
1145,-20.20046344472795
1146,-20.189602497519363
1147,-20.178858244213494
1148,-20.168228203841075
1149,-20.157709973721254
1150,-20.147301226201954
1151,-20.136999705568115
1152,-20.126803225107576
1153,-20.116709664325025
1154,-20.10671696629518
1155,-20.09682313514691
1156,-20.087026233670553
1157,-20.077324381041393
1158,-20.067715750652425
1159,-20.058198568050305
1160,-20.048771108968594
1161,-20.039431697452816
1162,-20.030178704072306
1163,-20.021010544213997
1164,-20.011925676453732
1165,-20.002922601000883
1166,-19.99399985821238
1167,-19.985156027172426
1168,-19.976389724334496
1169,-19.967699602222318
1170,-19.959084348186835
1171,-19.950542683216234
1172,-19.94207336079639
1173,-19.93367516581914
1174,-19.925346913536043
1175,-19.917087448555336
1176,-19.908895643879962
1177,-19.900770399984708
1178,-19.892710643930517
1179,-19.884715328514204
1180,-19.87678343145191
1181,-19.868913954594667
1182,-19.861105923174613
1183,-19.853358385080377
1184,-19.845670410160345
1185,-19.838041089552494
1186,-19.8304695350396
1187,-19.822954878428657
1188,-19.815496270953478
1189,-19.808092882699366
1190,-19.800743902048964
1191,-19.793448535148286
1192,-19.786206005392113
1193,-19.779015552927877
1194,-19.771876434177248
1195,-19.76478792137469
1196,-19.757749302122264
1197,-19.750759878959958
1198,-19.74381896895096
1199,-19.73692590328122
1200,-20.791015835154862
1201,-20.771496881837564
1202,-20.752351635330566
1203,-20.733566054184795
1204,-20.715126873758184
1205,-20.69702154995186
1206,-20.679238207949826
1207,-20.6617655954375
1208,-20.64459303983757
1209,-20.62771040915612
1210,-20.61110807607944
1211,-20.59477688500283
1212,-20.578708121708768
1213,-20.56289348544297
1214,-20.547325063164354
1215,-20.53199530576889
1216,-20.51689700610856
1217,-20.502023278645133
1218,-20.487367540595073
1219,-20.472923494436248
1220,-20.458685111660156
1221,-20.44464661766471
1222,-20.43080247769284
1223,-20.417147383731226
1224,-20.403676242291553
1225,-20.390384163003866
1226,-20.377266447958153
1227,-20.36431858173599
1228,-20.351536222079314
1229,-20.33891519114811
1230,-20.326451467322904
1231,-20.314141177511903
1232,-20.301980589925883
1233,-20.28996610728715
1234,-20.27809426044161
1235,-20.26636170234564
1236,-20.2547652024016
1237,-20.24330164111804
1238,-20.231968005072545
1239,-20.220761382156812
1240,-20.209678957085252
1241,-20.19871800714973
1242,-20.187875898204467
1243,-20.17715008086627
1244,-20.166538086916404
1245,-20.156037525891367
1246,-20.14564608185081
1247,-20.135361510311682
1248,-20.12518163533841
