,m
192,3.8539343434343345
193,3.853934343434334
194,3.853934343434334
195,3.853934343434334
196,3.8539343434343336
197,3.8539343434343336
198,3.8539343434343336
199,3.8539343434343336
200,3.8488686868686908
201,3.8488686868686908
202,3.8488686868686908
203,3.8488686868686903
204,3.8488686868686903
205,3.8488686868686903
206,3.84886868686869
207,3.84886868686869
208,3.84886868686869
209,3.8488686868686894
210,3.8488686868686894
211,3.8488686868686894
212,3.848868686868689
213,3.848868686868689
214,3.848868686868689
215,3.8488686868686885
216,3.8488686868686885
217,3.8488686868686885
218,3.848868686868688
219,3.848868686868688
220,3.848868686868688
221,3.848868686868688
222,3.8488686868686877
223,3.8488686868686877
224,3.8488686868686877
225,3.848868686868687
226,3.848868686868687
227,3.848868686868687
228,3.8488686868686868
229,3.8488686868686868
230,3.8488686868686868
231,3.8488686868686863
232,3.8488686868686863
233,3.8488686868686863
234,3.848868686868686
235,3.848868686868686
236,3.848868686868686
237,3.8488686868686854
238,3.8488686868686854
239,3.8488686868686854
240,3.848868686868685
241,3.848868686868685
242,3.848868686868685
243,3.848868686868685
244,3.8488686868686846
245,3.8488686868686846
246,3.8488686868686846
247,3.848868686868684
248,3.848868686868684
249,3.848868686868684
250,3.8488686868686837
251,3.8488686868686837
252,3.8488686868686837
253,3.848868686868683
254,3.848868686868683
255,3.848868686868683
256,3.8488686868686828
257,3.8488686868686828
258,3.8488686868686828
259,3.8488686868686823
260,3.8488686868686823
261,3.8488686868686823
262,3.848868686868682
263,3.848868686868682
264,3.848868686868682
265,3.8488686868686814
266,3.8488686868686814
267,3.8488686868686814
268,3.8488686868686814
269,3.848868686868681
270,3.848868686868681
271,3.848868686868681
272,3.8488686868686806
273,3.8488686868686806
274,3.8488686868686806
275,3.84886868686868
276,3.84886868686868
277,3.84886868686868
278,3.8488686868686797
279,3.8488686868686797
280,3.8488686868686797
281,3.8488686868686792
282,3.8488686868686792
283,3.8488686868686792
284,3.848868686868679
285,3.848868686868679
286,3.848868686868679
287,3.8488686868686783
288,3.8488686868686783
289,3.8488686868686783
290,3.848868686868678
291,3.848868686868678
292,3.848868686868678
293,3.848868686868678
294,3.8488686868686774
295,3.8488686868686774
296,3.8488686868686774
297,3.848868686868677
298,3.848868686868677
299,3.848868686868677
300,3.843803030303034
301,3.843803030303034
302,3.843803030303034
303,3.8438030303030337
304,3.8438030303030337
305,3.8438030303030337
306,3.8438030303030333
307,3.8438030303030333
308,3.8438030303030333
309,3.843803030303033
310,3.843803030303033
311,3.843803030303033
312,3.843803030303033
313,3.8438030303030324
314,3.8438030303030324
315,3.8438030303030324
316,3.843803030303032
317,3.843803030303032
318,3.843803030303032
319,3.8438030303030315
320,3.8438030303030315
321,3.8438030303030315
322,3.843803030303031
323,3.843803030303031
324,3.843803030303031
325,3.8438030303030306
326,3.8438030303030306
327,3.8438030303030306
328,3.84380303030303
329,3.84380303030303
330,3.84380303030303
331,3.8438030303030297
332,3.8438030303030297
333,3.8438030303030297
334,3.8438030303030293
335,3.8438030303030293
336,3.8438030303030293
337,3.8438030303030293
338,3.843803030303029
339,3.843803030303029
340,3.843803030303029
341,3.8438030303030284
342,3.8438030303030284
343,3.8438030303030284
344,3.843803030303028
345,3.843803030303028
346,3.843803030303028
347,3.8438030303030275
348,3.8438030303030275
349,3.8438030303030275
350,3.843803030303027
351,3.843803030303027
352,3.843803030303027
353,3.8438030303030266
354,3.8438030303030266
355,3.8438030303030266
356,3.843803030303026
357,3.843803030303026
358,3.843803030303026
359,3.843803030303026
360,3.8438030303030257
361,3.8438030303030257
362,3.8438030303030257
363,3.8438030303030253
364,3.8438030303030253
365,3.8438030303030253
366,3.843803030303025
367,3.843803030303025
368,3.843803030303025
369,3.8438030303030244
370,3.8438030303030244
371,3.8438030303030244
372,3.843803030303024
373,3.843803030303024
374,3.843803030303024
375,3.8438030303030235
376,3.8438030303030235
377,3.8438030303030235
378,3.843803030303023
379,3.843803030303023
380,3.843803030303023
381,3.8438030303030226
382,3.8438030303030226
383,3.8438030303030226
384,3.8438030303030226
385,3.843803030303022
386,3.843803030303022
387,3.843803030303022
388,3.8438030303030217
389,3.8438030303030217
390,3.8438030303030217
391,3.8438030303030213
392,3.8438030303030213
393,3.8438030303030213
394,3.843803030303021
395,3.843803030303021
396,3.843803030303021
397,3.8438030303030204
398,3.8438030303030204
399,3.8438030303030204
400,3.8387373737373776
401,3.8387373737373776
402,3.8387373737373776
403,3.838737373737377
404,3.838737373737377
405,3.838737373737377
406,3.838737373737377
407,3.8387373737373767
408,3.8387373737373767
409,3.8387373737373767
410,3.8387373737373762
411,3.8387373737373762
412,3.8387373737373762
413,3.838737373737376
414,3.838737373737376
415,3.838737373737376
416,3.8387373737373753
417,3.8387373737373753
418,3.8387373737373753
419,3.838737373737375
420,3.838737373737375
421,3.838737373737375
422,3.8387373737373744
423,3.8387373737373744
424,3.8387373737373744
425,3.838737373737374
426,3.838737373737374
427,3.838737373737374
428,3.838737373737374
429,3.8387373737373736
430,3.8387373737373736
431,3.8387373737373736
432,3.838737373737373
433,3.838737373737373
434,3.838737373737373
435,3.8387373737373727
436,3.8387373737373727
437,3.8387373737373727
438,3.8387373737373722
439,3.8387373737373722
440,3.8387373737373722
441,3.838737373737372
442,3.838737373737372
443,3.838737373737372
444,3.8387373737373713
445,3.8387373737373713
446,3.8387373737373713
447,3.838737373737371
448,3.838737373737371
449,3.838737373737371
450,3.8387373737373705
451,3.8387373737373705
452,3.8387373737373705
453,3.8387373737373705
454,3.83873737373737
455,3.83873737373737
456,3.83873737373737
457,3.8387373737373696
458,3.8387373737373696
459,3.8387373737373696
460,3.838737373737369
461,3.838737373737369
462,3.838737373737369
463,3.8387373737373687
464,3.8387373737373687
465,3.8387373737373687
466,3.8387373737373682
467,3.8387373737373682
468,3.8387373737373682
469,3.838737373737368
470,3.838737373737368
471,3.838737373737368
472,3.8387373737373673
473,3.8387373737373673
474,3.8387373737373673
475,3.8387373737373673
476,3.838737373737367
477,3.838737373737367
478,3.838737373737367
479,3.8387373737373665
480,3.8387373737373665
481,3.8387373737373665
482,3.838737373737366
483,3.838737373737366
484,3.838737373737366
485,3.8387373737373656
486,3.8387373737373656
487,3.8387373737373656
488,3.838737373737365
489,3.838737373737365
490,3.838737373737365
491,3.8387373737373647
492,3.8387373737373647
493,3.8387373737373647
494,3.8387373737373642
495,3.8387373737373642
496,3.8387373737373642
497,3.838737373737364
498,3.838737373737364
499,3.838737373737364
500,3.8336717171717214
501,3.833671717171721
502,3.833671717171721
503,3.833671717171721
504,3.8336717171717205
505,3.8336717171717205
506,3.8336717171717205
507,3.83367171717172
508,3.83367171717172
509,3.83367171717172
510,3.8336717171717196
511,3.8336717171717196
512,3.8336717171717196
513,3.833671717171719
514,3.833671717171719
515,3.833671717171719
516,3.8336717171717187
517,3.8336717171717187
518,3.8336717171717187
519,3.8336717171717187
520,3.8336717171717183
521,3.8336717171717183
522,3.8336717171717183
523,3.833671717171718
524,3.833671717171718
525,3.833671717171718
526,3.8336717171717174
527,3.8336717171717174
528,3.8336717171717174
529,3.833671717171717
530,3.833671717171717
531,3.833671717171717
532,3.8336717171717165
533,3.8336717171717165
534,3.8336717171717165
535,3.833671717171716
536,3.833671717171716
537,3.833671717171716
538,3.8336717171717156
539,3.8336717171717156
540,3.8336717171717156
541,3.8336717171717156
542,3.833671717171715
543,3.833671717171715
544,3.833671717171715
545,3.8336717171717147
546,3.8336717171717147
547,3.8336717171717147
548,3.8336717171717143
549,3.8336717171717143
550,3.8336717171717143
551,3.833671717171714
552,3.833671717171714
553,3.833671717171714
554,3.8336717171717134
555,3.8336717171717134
556,3.8336717171717134
557,3.833671717171713
558,3.833671717171713
559,3.833671717171713
560,3.8336717171717125
561,3.8336717171717125
562,3.8336717171717125
563,3.833671717171712
564,3.833671717171712
565,3.833671717171712
566,3.833671717171712
567,3.8336717171717116
568,3.8336717171717116
569,3.8336717171717116
570,3.833671717171711
571,3.833671717171711
572,3.833671717171711
573,3.8336717171717107
574,3.8336717171717107
575,3.8336717171717107
576,3.8336717171717103
577,3.8336717171717103
578,3.8336717171717103
579,3.83367171717171
580,3.83367171717171
581,3.83367171717171
582,3.8336717171717094
583,3.8336717171717094
584,3.8336717171717094
585,3.833671717171709
586,3.833671717171709
587,3.833671717171709
588,3.8336717171717085
589,3.8336717171717085
590,3.8336717171717085
591,3.8336717171717085
592,3.833671717171708
593,3.833671717171708
594,3.833671717171708
595,3.8336717171717076
596,3.8336717171717076
597,3.8336717171717076
598,3.833671717171707
599,3.833671717171707
600,3.828606060606065
601,3.8286060606060643
602,3.8286060606060643
603,3.8286060606060643
604,3.828606060606064
605,3.828606060606064
606,3.828606060606064
607,3.8286060606060635
608,3.8286060606060635
609,3.8286060606060635
610,3.828606060606063
611,3.828606060606063
612,3.828606060606063
613,3.828606060606063
614,3.8286060606060626
615,3.8286060606060626
616,3.8286060606060626
617,3.828606060606062
618,3.828606060606062
619,3.828606060606062
620,3.8286060606060617
621,3.8286060606060617
622,3.8286060606060617
623,3.8286060606060612
624,3.8286060606060612
625,3.8286060606060612
626,3.828606060606061
627,3.828606060606061
628,3.828606060606061
629,3.8286060606060603
630,3.8286060606060603
631,3.8286060606060603
632,3.82860606060606
633,3.82860606060606
634,3.82860606060606
635,3.82860606060606
636,3.8286060606060595
637,3.8286060606060595
638,3.8286060606060595
639,3.828606060606059
640,3.828606060606059
641,3.828606060606059
642,3.8286060606060586
643,3.8286060606060586
644,3.8286060606060586
645,3.828606060606058
646,3.828606060606058
647,3.828606060606058
648,3.8286060606060577
649,3.8286060606060577
650,3.8286060606060577
651,3.8286060606060572
652,3.8286060606060572
653,3.8286060606060572
654,3.828606060606057
655,3.828606060606057
656,3.828606060606057
657,3.8286060606060563
658,3.8286060606060563
659,3.8286060606060563
660,3.8286060606060563
661,3.828606060606056
662,3.828606060606056
663,3.828606060606056
664,3.8286060606060555
665,3.8286060606060555
666,3.8286060606060555
667,3.828606060606055
668,3.828606060606055
669,3.828606060606055
670,3.8286060606060546
671,3.8286060606060546
672,3.8286060606060546
673,3.828606060606054
674,3.828606060606054
675,3.828606060606054
676,3.8286060606060537
677,3.8286060606060537
678,3.8286060606060537
679,3.8286060606060532
680,3.8286060606060532
681,3.8286060606060532
682,3.8286060606060532
683,3.828606060606053
684,3.828606060606053
685,3.828606060606053
686,3.8286060606060524
687,3.8286060606060524
688,3.8286060606060524
689,3.828606060606052
690,3.828606060606052
691,3.828606060606052
692,3.8286060606060515
693,3.8286060606060515
694,3.8286060606060515
695,3.828606060606051
696,3.828606060606051
697,3.828606060606051
698,3.8286060606060506
699,3.8286060606060506
700,3.823540404040408
701,3.8235404040404077
702,3.8235404040404077
703,3.8235404040404077
704,3.8235404040404077
705,3.8235404040404073
706,3.8235404040404073
707,3.8235404040404073
708,3.823540404040407
709,3.823540404040407
710,3.823540404040407
711,3.8235404040404064
712,3.8235404040404064
713,3.8235404040404064
714,3.823540404040406
715,3.823540404040406
716,3.823540404040406
717,3.8235404040404055
718,3.8235404040404055
719,3.8235404040404055
720,3.823540404040405
721,3.823540404040405
722,3.823540404040405
723,3.8235404040404046
724,3.8235404040404046
725,3.8235404040404046
726,3.8235404040404046
727,3.823540404040404
728,3.823540404040404
729,3.823540404040404
730,3.8235404040404037
731,3.8235404040404037
732,3.8235404040404037
733,3.8235404040404033
734,3.8235404040404033
735,3.8235404040404033
736,3.823540404040403
737,3.823540404040403
738,3.823540404040403
739,3.8235404040404024
740,3.8235404040404024
741,3.8235404040404024
742,3.823540404040402
743,3.823540404040402
744,3.823540404040402
745,3.8235404040404015
746,3.8235404040404015
747,3.8235404040404015
